Country_A,Country_B,Conflict_Type,Year,Duration_Days,Economic_Loss_USD_Billions,Temperature_Avg_C,Rainfall_mm,Terrain_Type,Population_A_Millions,Population_B_Millions,Alliance_A,Alliance_B,Weapons_Used,Air_Strikes,Naval_Battles,Sanctions,Refugees_Millions,Ceasefire,Outcome,Latitude,Longitude,Climate_Zone,Resource_Dispute,UN_Involvement,Total Deaths,Total GDP,Conflict_Intensity
India,India,Proxy War,1985,902,54.34,22.7,2737.7,Plains,1376.1,1338.9,Regional,,Nuclear,2520,86,No,15.46,Yes,Stalemate,83.879,42.517,Polar,Oil,No,186100,22345.7,206.3192905
Brazil,Brazil,Proxy War,1986,891,214.23,31.2,2534.5,Plains,1116.1,1120.3,Regional,Regional,Conventional,3251,192,No,16.42,Yes,Stalemate,21.203,104.733,Arid,Water,Yes,109238,19234.3,122.6015713
Brazil,UK,Civil War,2020,1571,232.41,3.7,2194,Mountain,943.3,1074.8,,NATO,Conventional,3674,53,No,5.82,No,Victory_B,27.274,-20.427,Arid,Water,Yes,182217,36359.3,115.9879058
Russia,USA,Skirmish,1972,1825,488.81,23.4,2202.2,Urban,1282.9,700.2,Regional,Regional,Nuclear,193,170,No,13.27,No,Victory_A,63.648,-2.413,Tropical,Water,No,207945,4550.5,113.9424658
Germany,India,War,1990,18,339.03,22.1,316.2,Plains,1338.7,1149.3,NATO,,Nuclear,2844,77,Yes,7.85,No,Victory_B,-29.329,54.514,Tropical,Oil,No,129098,13535.6,7172.111111
UK,Russia,Skirmish,1977,1189,203.68,3.3,812.5,Mountain,635.5,578.3,NATO,Regional,Conventional,4855,182,No,19.45,No,Victory_A,10.486,-135.13,Polar,Land,No,168800,19511.4,141.9680404
China,Japan,Skirmish,1997,1549,13.13,14.8,200.5,Forest,459.4,1158,NATO,,Cyber,1252,13,Yes,8.1,No,Victory_B,13.714,118.298,Tropical,Land,No,51042,27221.5,32.95158167
Brazil,Brazil,War,1987,202,282.74,18.2,26,Plains,442.1,1061.1,NATO,Regional,Nuclear,794,171,No,7.92,Yes,Stalemate,84.124,121.298,Arid,,Yes,143204,15280.1,708.9306931
Ukraine,USA,War,1980,741,48.13,11.7,474.9,Plains,51,950.1,,,Conventional,2722,37,Yes,10.03,No,Victory_A,-66.332,14.777,Arid,,No,223466,32357,301.5735493
Iran,Australia,Proxy War,1963,1370,417.24,27.2,2641.5,Forest,392.2,462.3,Regional,NATO,Nuclear,1626,185,No,0.51,No,Victory_A,46.604,-112.478,Arid,,No,45805,12695.5,33.43430657
Germany,Germany,Proxy War,2022,1390,376.28,27.5,719.6,Forest,497.7,883.4,Regional,NATO,Conventional,2841,104,Yes,8.36,Yes,Victory_B,13.527,0.275,Temperate,Water,No,39543,21467.8,28.44820144
China,Japan,War,1978,1472,230.31,28.3,2910.5,Plains,52.6,710,Regional,NATO,Mixed,90,176,No,16.57,Yes,Victory_A,62.168,-141.862,Arid,Land,Yes,161475,22040.4,109.6976902
Ukraine,France,Cold Conflict,2000,1537,214.66,26.2,1791.9,Forest,1235.8,646.7,Regional,NATO,Nuclear,3677,15,No,12.24,No,Stalemate,59.751,94.784,Temperate,Oil,Yes,157944,34518.1,102.7612232
UK,India,Proxy War,1998,319,448.68,12,711.8,Mountain,1187.2,1386.4,NATO,,Nuclear,4172,81,Yes,19.39,No,Victory_A,-87.835,-67.985,Tropical,Land,No,179435,25382.8,562.492163
USA,Israel,Cold Conflict,1992,217,144.3,7.2,1491.4,Plains,352.8,706.7,,Regional,Cyber,3519,73,No,6.51,No,Victory_B,-43.838,-68.006,Temperate,Oil,No,187793,25242.5,865.40553
Ukraine,USA,War,2021,1058,124.59,27.4,657.3,Plains,1123.8,45.7,Regional,NATO,Cyber,1320,29,No,3.23,No,Victory_A,-57.453,160.218,Arid,,Yes,120490,39602.2,113.8846881
Canada,Ukraine,Proxy War,1954,1895,469.6,12.1,2951.9,Desert,1114.9,877.4,Regional,,Cyber,3459,67,No,15.01,No,Victory_B,-6.892,-28.131,Tropical,Water,No,92888,4056.2,49.01741425
Germany,China,Skirmish,1991,266,404.64,1.1,2541.8,Plains,469.7,1019.5,,,Cyber,2369,70,Yes,0.87,Yes,Stalemate,72.952,104.247,Temperate,Water,No,197638,30072.5,743
Israel,Ukraine,War,1956,1664,410.33,12.8,78.7,Desert,976.2,1239.4,Regional,NATO,Nuclear,2468,79,Yes,3.19,No,Victory_B,-89.099,49.379,Tropical,,No,210229,26038.8,126.3395433
Ukraine,UK,Civil War,1991,724,97.68,-3.6,2843.3,Forest,406.5,886.1,,NATO,Nuclear,2593,114,Yes,10.14,Yes,Victory_B,-2.125,-66.177,Tropical,Water,No,45987,20604.4,63.5179558
Japan,Ukraine,Cold Conflict,1985,775,71.73,21.1,2163.2,Forest,99.3,28.2,Regional,,Cyber,1657,36,Yes,15.07,Yes,Victory_A,69.263,-135.435,Temperate,,Yes,53656,28358,69.23354839
USA,Australia,War,1976,1848,13.11,5.1,247.1,Mountain,707.2,168.5,,Regional,Cyber,3377,196,No,12.02,No,Victory_B,76.718,107.187,Tropical,Land,Yes,113969,19700,61.6715368
Australia,UK,War,2007,1104,118.6,1.7,2011.9,Desert,614.2,226.6,Regional,,Nuclear,4037,54,Yes,19.9,Yes,Victory_B,28.314,94.501,Tropical,Oil,Yes,269804,47561.2,244.3876812
Australia,Brazil,Proxy War,1995,1701,387.12,33,1940.8,Plains,194.3,296.6,NATO,NATO,Mixed,345,166,No,13.1,No,Victory_B,59.355,-119.101,Arid,Water,No,156738,33826.8,92.14462081
Turkey,Germany,Proxy War,2015,413,120.1,25,656.4,Desert,687.3,1119.9,Regional,NATO,Conventional,3881,184,No,14.5,No,Victory_B,-31.668,-90.318,Polar,,Yes,58821,32168.5,142.4237288
Canada,Brazil,Proxy War,1974,1276,364.58,25.4,2275.3,Forest,1329.2,434.4,NATO,NATO,Cyber,1664,176,No,19.88,Yes,Victory_B,-38.527,95.845,Polar,Oil,Yes,243690,41709.4,190.9796238
Ukraine,China,Civil War,2022,1036,126.03,18.1,261.2,Forest,1024.2,438,,Regional,Conventional,3873,96,No,11.85,Yes,Victory_B,-81.158,174.107,Tropical,,Yes,168599,19820.8,162.7403475
Ukraine,Russia,Proxy War,1976,401,197.71,27.8,1468.3,Mountain,1034.7,1058.1,NATO,Regional,Mixed,2772,190,Yes,14.29,Yes,Victory_A,0.576,123.711,Temperate,Water,Yes,127502,29429.6,317.9600998
Turkey,Germany,War,1950,1840,491.58,24.2,29.8,Forest,1060.8,578,Regional,Regional,Mixed,649,98,No,5.97,No,Victory_A,-7.95,66.295,Polar,Oil,Yes,83360,15819.8,45.30434783
Iran,Ukraine,Proxy War,2023,724,122.48,16.9,2906.2,Desert,1042.7,91.4,NATO,,Mixed,2706,111,No,10.74,Yes,Victory_B,-23.055,149.553,Temperate,Water,Yes,187322,34751.4,258.7320442
Iran,Israel,Skirmish,1991,282,188.25,33.3,2254.7,Plains,28.8,819.6,NATO,,Nuclear,1912,117,No,18.24,Yes,Victory_B,-69.6,-77.315,Polar,Oil,Yes,59673,41163,211.606383
Turkey,Canada,Proxy War,2001,1136,150.61,-1.4,476.6,Plains,1294.6,183,Regional,Regional,Conventional,3685,161,Yes,17.07,Yes,Victory_B,-48.463,-176.525,Arid,Oil,No,138645,29359,122.0466549
Iran,Russia,Civil War,1974,723,54.9,32.5,1025,Desert,1162.4,800.8,,Regional,Mixed,4861,56,No,6.13,Yes,Stalemate,-53.338,-64.451,Arid,,No,70610,740,97.66251729
Russia,Germany,Skirmish,2003,1402,245,8.1,481.7,Mountain,385.1,1091.7,NATO,NATO,Cyber,1809,96,No,7.14,Yes,Victory_B,79.914,169.896,Temperate,Oil,Yes,232424,13197.3,165.7803138
Ukraine,Germany,War,2016,751,189.41,13.8,2299.9,Plains,774.3,1301.4,Regional,NATO,Mixed,3260,61,No,16.93,Yes,Victory_A,83.963,137.509,Temperate,Land,No,201576,40461.6,268.4101198
France,China,War,1955,268,347.47,-4.5,176.7,Desert,861.4,94.8,NATO,,Cyber,2112,38,No,5.69,Yes,Victory_A,-89.384,-161.872,Arid,Water,Yes,183235,29783.3,683.7126866
India,France,Cold Conflict,2007,1941,408.82,14.3,2521.2,Desert,185.6,426.2,,Regional,Cyber,1482,73,No,17.75,Yes,Victory_B,-59.301,0.705,Temperate,,No,135260,35902.9,69.68572901
Japan,Ukraine,Skirmish,2019,298,272.17,17.5,2826.6,Forest,356.3,913.8,,Regional,Mixed,675,66,Yes,15.48,No,Victory_A,69.981,-151.556,Tropical,Oil,Yes,81039,27373.4,271.942953
Russia,China,Cold Conflict,2002,1341,16.19,34.9,2029.9,Forest,33.5,442.3,,,Cyber,475,189,Yes,3.05,No,Victory_A,-83.099,104.051,Arid,Land,Yes,151548,32320.2,113.0111857
UK,Germany,Skirmish,2015,570,309.5,33.9,638.9,Mountain,1209.7,632,NATO,Regional,Cyber,325,28,No,14.4,Yes,Stalemate,79.821,-45.858,Arid,Land,Yes,196639,10046.6,344.9807018
Russia,USA,Skirmish,2007,509,27.79,33.5,1080.3,Mountain,35.8,29.1,Regional,NATO,Nuclear,3263,30,No,16.69,No,Victory_B,-21.588,148.3,Arid,Land,No,179736,8302,353.1159136
France,Russia,Civil War,1951,1974,308.22,5.7,1431.7,Mountain,446.9,971.2,,Regional,Conventional,2135,59,No,2.89,No,Victory_A,6.963,-160.397,Arid,,No,163300,19035.8,82.7254306
UK,China,Cold Conflict,1971,546,342.55,34.6,1813.9,Desert,110.5,1236.7,Regional,,Nuclear,4253,38,Yes,9.15,No,Victory_A,47.488,84.239,Tropical,Oil,Yes,238556,37615.9,436.9157509
Japan,France,Civil War,1986,775,98.96,10.5,2006,Desert,1094.2,1367.6,,,Nuclear,1296,0,No,17.25,Yes,Victory_B,-46.097,-36.228,Arid,Oil,No,53129,23623,68.55354839
France,Iran,Skirmish,1969,365,409.69,28.3,1662.6,Forest,1295.1,1162.9,NATO,Regional,Nuclear,281,55,No,3.97,No,Victory_A,-71.879,-83.438,Arid,Land,Yes,166276,22399.9,455.5506849
China,India,War,1973,547,455.55,-0.3,1053.9,Plains,788.4,45.5,NATO,,Conventional,656,100,No,8.98,No,Stalemate,55.791,6.282,Temperate,,No,206806,34371.6,378.0731261
India,Brazil,Skirmish,2014,271,406.56,12.8,2672.8,Mountain,196.3,912.9,,NATO,Conventional,2210,185,No,12.26,Yes,Victory_B,87.233,-5.225,Arid,Water,Yes,99686,38029.1,367.8450185
Japan,Germany,Civil War,2014,1985,152.62,33.5,244.2,Urban,781.9,694.4,Regional,NATO,Mixed,3245,90,No,1.95,Yes,Victory_A,28.58,-54.428,Polar,Oil,Yes,246152,36573.1,124.0060453
Ukraine,Ukraine,Cold Conflict,1950,1498,293.36,32.6,1398.8,Mountain,1078.7,1313.1,Regional,NATO,Nuclear,900,148,No,4.24,No,Victory_B,58.54,53.588,Temperate,Oil,No,84210,11032.7,56.21495327
Iran,Canada,Cold Conflict,1952,739,457.42,20.8,2326.7,Forest,1006.1,1263.1,,Regional,Conventional,4426,181,Yes,9.33,No,Victory_A,79.436,58.074,Temperate,Water,Yes,141533,26785.6,191.5196211
China,India,Civil War,1995,537,160.4,25.9,182.6,Desert,1038.7,1383.3,NATO,,Mixed,143,198,No,7.47,No,Stalemate,-48.856,-152.23,Polar,Oil,Yes,182732,14016.1,340.283054
Canada,UK,Cold Conflict,2004,1258,410.03,-2.1,2116,Forest,391.6,1206.8,Regional,NATO,Nuclear,3369,170,No,6.5,Yes,Victory_A,-26.927,34.349,Temperate,Water,Yes,215291,18217.7,171.1375199
Japan,Israel,Proxy War,2024,59,4.84,22.5,2459.1,Forest,104.2,766.1,Regional,,Nuclear,3933,181,No,0.53,Yes,Stalemate,-50.575,75.865,Tropical,Water,Yes,61540,47405.7,1043.050847
Canada,Israel,War,2013,1275,1.92,17.8,1982.5,Forest,209.4,1001.1,NATO,,Cyber,2487,129,Yes,18.56,No,Victory_B,-78.879,-152.68,Arid,Oil,No,127772,15259.8,100.2133333
UK,Turkey,War,1994,1871,379.88,-5.9,38.8,Urban,1337.8,1350.6,Regional,,Conventional,2535,141,No,17.43,No,Stalemate,41.81,57.287,Arid,Land,Yes,84558,39904.9,45.1940139
China,Turkey,War,1975,86,380.75,-4.9,540.4,Urban,859.3,809.8,,NATO,Cyber,1413,105,Yes,7.85,Yes,Victory_B,-63.782,109.432,Temperate,Oil,No,181412,31426.7,2109.44186
India,Japan,Cold Conflict,2014,763,394.51,-5.1,1026.3,Mountain,1019.3,1176.1,NATO,,Nuclear,1043,130,Yes,3.63,Yes,Victory_A,-73.312,119.5,Arid,Land,No,58182,3256.1,76.2542595
Ukraine,France,Cold Conflict,1973,390,465.02,22.6,701.1,Desert,1258.8,1319.2,,NATO,Nuclear,2583,141,Yes,1.38,Yes,Victory_A,-25.626,-165.007,Temperate,Oil,Yes,186667,31390.8,478.6333333
Turkey,Canada,Skirmish,2023,1204,59.04,-3.6,2888,Forest,1194,799.2,NATO,NATO,Nuclear,3674,4,No,2.46,No,Victory_A,-79.1,71.07,Arid,,Yes,175896,21834.7,146.0930233
Ukraine,Iran,Skirmish,1984,719,116.07,11,1954.8,Plains,306.5,223.7,,NATO,Mixed,649,80,No,12.04,No,Victory_A,-57.68,106.912,Temperate,Land,Yes,113639,25920.2,158.0514604
France,Iran,War,1973,856,451.87,6.1,890.9,Mountain,82.2,218.6,,Regional,Cyber,4760,166,Yes,14.68,Yes,Victory_B,-77.411,-37.144,Temperate,Water,No,67966,7385.6,79.39953271
Ukraine,Japan,Proxy War,1977,149,88.7,14.8,2789.1,Mountain,1295.3,162.3,,,Cyber,3291,128,No,3.13,Yes,Victory_B,67.91,15.423,Temperate,Land,Yes,220110,32774.8,1477.248322
Israel,France,Skirmish,1965,583,341.15,21.8,2221.8,Forest,1374.4,667.4,Regional,Regional,Nuclear,2921,119,No,2.26,No,Victory_A,50.352,-84.558,Tropical,Land,No,205779,31181.6,352.9656947
Brazil,Ukraine,Skirmish,2008,121,265.28,20.8,853.8,Mountain,794.7,672.7,Regional,Regional,Cyber,172,42,No,13.82,No,Victory_B,64.713,-68.313,Temperate,Oil,Yes,189320,46194.8,1564.628099
Turkey,USA,Cold Conflict,2003,765,41.69,13.2,1136.6,Forest,1243.9,864.7,,Regional,Nuclear,3021,91,Yes,10.34,No,Victory_B,66.3,0.583,Tropical,,Yes,119769,34424.8,156.5607843
Russia,Ukraine,Proxy War,1965,605,142.7,10.9,598.3,Mountain,325.3,676.5,,Regional,Nuclear,2048,186,Yes,7.44,No,Victory_B,80.012,-125.59,Tropical,Water,No,232519,32917.2,384.3289256
Iran,Brazil,War,1964,256,260.23,7.9,2913.2,Desert,156.3,1362.3,NATO,NATO,Cyber,4078,77,No,14.5,No,Victory_A,-56.402,-46.614,Polar,,Yes,134321,11979.3,524.6914063
USA,India,Skirmish,1960,766,426.19,28.8,1551.9,Mountain,700.2,408.5,Regional,NATO,Conventional,3096,14,No,9.11,No,Stalemate,72.002,-71.483,Temperate,Land,Yes,265667,7083.4,346.8237598
India,Russia,Proxy War,2014,864,353.8,4.9,2688.2,Mountain,1135.8,1223.5,,,Nuclear,2927,45,No,9.3,Yes,Stalemate,4.507,-94.23,Tropical,,Yes,102579,19114.4,118.7256944
China,Iran,Proxy War,2017,800,310.98,1.7,1039.5,Plains,916.9,141.4,Regional,,Nuclear,1894,6,Yes,0.31,Yes,Victory_B,-60.078,-5.8,Polar,,No,107802,31834.7,134.7525
Brazil,Israel,War,1992,1333,248.07,23.4,2582.5,Desert,892.6,843.1,NATO,NATO,Cyber,3976,169,No,6.32,Yes,Stalemate,28.039,121.924,Arid,,No,160449,20139.4,120.3668417
India,France,Proxy War,2018,59,149.41,6.2,161.7,Desert,25.4,908,,,Cyber,3262,114,Yes,0.1,No,Stalemate,-31.14,-92.786,Tropical,Land,Yes,173304,48444.2,2937.355932
China,Ukraine,Proxy War,1962,1022,59.71,28.1,2946.3,Desert,445.2,1081.3,Regional,,Cyber,408,6,Yes,18.48,No,Victory_B,-81.635,57.503,Tropical,,No,153201,42133.2,149.9031311
Iran,Russia,Proxy War,1959,1093,204.6,4.8,2736.1,Mountain,1315.4,704.7,NATO,Regional,Nuclear,3549,174,Yes,5.88,Yes,Victory_B,-75.843,-88.491,Tropical,,No,233766,16487.3,213.8755718
Germany,Brazil,Skirmish,2024,1470,14.36,21.6,1089.6,Urban,188.8,276.9,,Regional,Conventional,3375,87,No,3.61,No,Victory_B,-13.731,-128.85,Polar,Oil,Yes,203233,26844.7,138.2537415
Germany,Germany,War,1990,388,105.61,-8,2324.2,Mountain,1017.2,517.2,Regional,Regional,Conventional,4022,89,No,1.82,Yes,Victory_A,58.767,159.596,Polar,Water,No,243874,33350.3,628.5412371
Canada,UK,Proxy War,1999,1110,216.3,7.4,2256.8,Forest,1063.3,381.8,NATO,Regional,Conventional,577,18,Yes,0.93,Yes,Stalemate,-34.015,47.965,Tropical,Land,Yes,182484,7483.3,164.4
India,India,Proxy War,2020,786,209.36,5.4,2703.8,Plains,1026.2,587.3,NATO,Regional,Nuclear,3607,52,No,17.72,Yes,Stalemate,47.903,-142.345,Temperate,,No,71610,20225.5,91.10687023
Germany,Brazil,Skirmish,2008,1251,22.24,26.8,921.8,Desert,1385,742.4,Regional,NATO,Cyber,4177,89,No,3.37,Yes,Victory_B,-79.966,47.752,Polar,,Yes,142291,16191.9,113.7418066
Israel,Brazil,War,1988,593,294.57,33.5,1396.6,Forest,573.5,875.5,,Regional,Conventional,602,15,No,12.35,Yes,Victory_A,-19.128,-116.515,Polar,Oil,No,151747,42924.5,255.8971332
Turkey,Ukraine,Cold Conflict,1952,1650,274.89,10.7,2595,Forest,955.4,1183.3,Regional,Regional,Conventional,3755,61,Yes,13.02,No,Victory_B,-67.061,139.607,Arid,Water,No,153490,24198.3,93.02424242
China,USA,Skirmish,1956,1208,39.14,27.1,2335.7,Urban,271.9,1274.1,NATO,NATO,Conventional,4069,193,No,6.35,Yes,Victory_A,65.439,-90.911,Arid,Land,Yes,133040,12089.1,110.1324503
Canada,Japan,War,1998,1816,471.59,21.5,1180.4,Desert,560.2,648.2,NATO,Regional,Nuclear,987,64,No,16.66,No,Stalemate,84.229,110.447,Tropical,,Yes,110833,9262.2,61.03138767
Ukraine,Iran,Proxy War,1975,1346,49.78,33.5,2537.2,Mountain,688.7,125.1,,,Cyber,4236,111,Yes,4.28,No,Victory_B,-31.389,-108.29,Arid,Land,No,169121,13927.9,125.6471025
China,UK,War,1982,909,427.43,26.5,140.9,Desert,301.5,1116.1,Regional,NATO,Mixed,2315,178,Yes,1.43,Yes,Victory_B,87.995,20.985,Temperate,,Yes,187538,26044.6,206.3124312
Canada,India,War,1997,1342,0.25,-6.5,2346.1,Plains,1269.6,668.5,,,Cyber,4234,35,Yes,1.37,No,Stalemate,45.415,148.438,Tropical,,Yes,163945,46029.1,122.1646796
Iran,Germany,War,1951,566,441.15,22.1,620.3,Desert,1003,765.5,,,Cyber,3118,162,No,6.01,Yes,Victory_A,-89.778,-73.439,Tropical,Land,Yes,184324,36997.6,325.6607774
India,Germany,Cold Conflict,2020,399,9.96,14.1,858.4,Forest,398,834.5,NATO,NATO,Cyber,1083,23,No,9.26,No,Victory_A,-2.651,-150.697,Polar,Land,Yes,192849,25699.4,483.3308271
Iran,China,War,1981,1733,378.93,-9.3,1479.6,Forest,189.8,935.3,Regional,NATO,Conventional,2608,68,No,12.59,No,Stalemate,60.138,18.933,Tropical,,Yes,230707,10649.7,133.1257934
Turkey,Brazil,Cold Conflict,1953,899,180.91,1.3,1349.2,Mountain,403.7,1246.3,Regional,Regional,Cyber,1587,118,Yes,14.57,No,Victory_A,6.098,-117.961,Arid,Land,No,67405,37121.8,74.97775306
Turkey,France,Proxy War,1969,1317,369.13,31.5,1561.7,Mountain,872.6,1333.1,NATO,NATO,Conventional,1084,156,No,3.57,Yes,Stalemate,8.993,82.204,Tropical,Water,No,81956,29991.7,62.22930904
Brazil,USA,Cold Conflict,1985,293,200.93,31.7,1634.3,Mountain,1157.1,1316.3,NATO,NATO,Nuclear,1749,128,Yes,13.68,No,Stalemate,-9.414,32.696,Tropical,Land,No,195329,22372.2,666.6518771
Iran,UK,Proxy War,1981,485,35.55,25.9,994.6,Plains,704.9,1133.4,Regional,Regional,Mixed,3166,184,No,3.65,Yes,Stalemate,-18.893,-55.305,Arid,Land,Yes,169827,38199.8,350.1587629
France,Ukraine,Proxy War,1977,1923,383.78,34.2,525.7,Desert,144.4,1245,,Regional,Nuclear,1655,122,No,19.94,No,Victory_A,-85.069,74.035,Polar,Land,No,223527,10937.3,116.2386895
Ukraine,Germany,Cold Conflict,1950,1471,35.72,26.3,2305.4,Urban,349.8,70.5,,NATO,Nuclear,3546,136,No,19.18,No,Victory_B,21.912,-94.13,Temperate,Land,Yes,123838,24605.3,84.18626785
Japan,India,Skirmish,2009,803,461.07,-9.5,1199.9,Desert,483.9,1188.9,Regional,Regional,Mixed,39,99,No,2.05,No,Stalemate,48.011,150.133,Arid,,No,94660,22846.4,117.882939
Iran,China,Civil War,2005,1716,25.58,3,1517.5,Mountain,891,102.1,,Regional,Cyber,1350,14,No,13.1,Yes,Victory_A,52.232,-55.12,Temperate,Oil,Yes,214392,24965.7,124.9370629
Brazil,Israel,War,1984,1916,239.71,-8.6,1934.1,Plains,346.1,1044.9,,Regional,Cyber,1994,73,Yes,18.07,No,Stalemate,22.435,94.669,Temperate,,No,220933,13792.1,115.309499
UK,Iran,Civil War,1979,1436,361.54,-5.8,2728.9,Desert,328.3,237.9,NATO,,Conventional,2453,143,No,1.61,No,Victory_A,-28.57,-86.933,Temperate,,No,60972,26421,42.45961003
Israel,India,War,2003,1532,196.68,-0.2,2122.7,Forest,401.4,504.8,,Regional,Cyber,743,175,No,2.48,Yes,Stalemate,-85.93,77.337,Tropical,Water,No,91039,13477.3,59.42493473
China,USA,War,1985,1758,108.7,12.7,136.4,Desert,829.9,258.7,NATO,,Mixed,3282,35,Yes,6.94,No,Victory_A,71.24,-168.649,Temperate,,Yes,157130,25477.1,89.37997725
Turkey,France,Proxy War,2004,1810,379.57,28.1,2515.7,Forest,690.2,621.4,,NATO,Nuclear,4133,52,No,1.91,Yes,Stalemate,-12.772,-73.614,Polar,,Yes,64168,23424.2,35.4519337
UK,China,War,2007,890,392.17,28.8,2968.1,Desert,1178.4,577,Regional,,Cyber,2364,78,Yes,17.71,No,Stalemate,18.212,-146.56,Polar,Water,No,259695,29078.1,291.7921348
Brazil,Israel,War,2014,244,461.36,17.7,1417.5,Desert,977.4,68.2,NATO,,Conventional,1106,130,No,17.51,No,Stalemate,-54.98,-17.561,Polar,Water,Yes,48236,9586.1,197.6885246
Canada,China,Cold Conflict,2018,1444,188.14,31.8,2908.8,Desert,933.9,1162.9,Regional,,Nuclear,3427,146,Yes,18.97,Yes,Victory_A,-64.448,-23.361,Tropical,Land,No,217771,38249.5,150.8109418
Japan,Japan,Civil War,2000,1953,253.18,12.5,1642,Mountain,217.4,1196,NATO,,Nuclear,629,40,Yes,4.1,No,Victory_B,-74.373,-50.757,Arid,,No,229262,2683.1,117.3896569
Ukraine,UK,Cold Conflict,1971,960,181.63,30,1378.8,Forest,78.3,1102.7,,,Conventional,4910,36,Yes,0.91,Yes,Stalemate,53.778,173.22,Polar,Water,No,201562,15611.2,209.9604167
Ukraine,China,War,2002,1178,128.62,10.4,994.2,Plains,714.5,1186.8,Regional,,Nuclear,4634,186,No,8.89,No,Victory_A,26.363,-92.127,Temperate,,No,83680,21675.3,71.03565365
Ukraine,Australia,Proxy War,1985,816,375.54,2.5,1972.7,Urban,101.2,1051.5,NATO,NATO,Conventional,2256,194,Yes,17.61,Yes,Victory_A,21.809,104.778,Tropical,,No,200161,23382.4,245.2953431
